time,x,y,direction,E5:53:39:5F:31:1A,F8:9D:4B:5D:44:F4,FD:AF:34:29:05:FE,C6:62:EC:2D:90:AB,D6:77:D9:C0:A6:54,FA:C4:4A:07:18:9F,C4:35:CE:FD:FB:DF,CC:7F:D5:E0:41:92,D7:B8:72:01:49:AC,C5:EB:92:59:4D:1A,C2:80:A9:28:D0:79,FC:92:D5:14:99:90
7/9/2024 9:34,42,42,N,,-71,,-60,-69,,-57,-62,-53,,-62,
7/9/2024 9:34,42,42,N,-55,,,,-57,-62,,-63,-66,-62,-61,-73
7/9/2024 9:34,42,42,N,,-72,-75,,-55,-68,,-62,,-47,-62,-64
7/9/2024 9:34,42,42,N,-60,-78,-71,-60,-56,,-57,,-55,-46,-63,
7/9/2024 9:34,42,42,N,-67,,,,,,-56,-62,,,-63,-63
7/9/2024 9:34,42,42,N,,,-70,-67,-69,,,,,-46,-59,-67
7/9/2024 9:34,42,42,N,,-68,-67,-68,-62,,-56,-68,,-43,-68,-82
7/9/2024 9:34,42,42,N,-54,-77,-76,,,-62,-56,-65,-71,-62,-66,
7/9/2024 9:34,42,42,N,-59,,-67,,-74,,-58,,,-47,-60,-74
7/9/2024 9:34,42,42,N,-59,,,-60,-56,,-57,,-60,-46,,
7/9/2024 9:34,42,42,N,-61,,,,-56,-66,-56,,,-61,,
7/9/2024 9:34,42,42,N,-61,,,,,-69,,-60,-73,,-62,
7/9/2024 9:34,42,42,N,-58,-83,,,,,-56,-66,-53,,-58,-71
7/9/2024 9:34,42,42,N,-61,-69,,-67,-56,-66,,-66,-72,-46,,
7/9/2024 9:34,42,42,N,-62,-78,,-60,-72,-69,-57,-63,-54,-46,,
7/9/2024 9:34,42,42,N,-68,-78,,,-61,,-57,-64,,-46,-59,
7/9/2024 9:34,42,42,N,-61,-71,,,-56,-70,-55,-63,-65,-62,-63,-64
7/9/2024 9:34,42,42,N,,,,-61,,,-59,,-74,-46,-66,-67
7/9/2024 9:34,42,42,N,-59,-63,-71,,,-69,,-67,-71,-43,-61,-74
7/9/2024 9:35,42,42,N,,-64,,-60,,,-66,-63,,-47,-63,
